code,label_en,label_sw,domain,min_keph_level,notes
OPD_GENERAL,General outpatient care,Huduma za wagonjwa wa nje,SERVICE,2,Baseline for any facility
INPATIENT_GENERAL,General inpatient beds,Vitanda vya kulazwa,SERVICE,4,
EMERGENCY_24H,24-hour emergency department,Huduma ya dharura saa 24,SERVICE,4,Red-flag routing target
CASUALTY,Casualty / minor injuries,Huduma ya majeraha madogo,SERVICE,3,
MATERNITY_NORMAL,Normal delivery,Uzazi wa kawaida,SERVICE,3,
MATERNITY_CEMONC,Comprehensive emergency obstetric care,Huduma kamili ya dharura ya uzazi,SERVICE,4,Requires theatre and blood
ANTENATAL,Antenatal care,Huduma ya wajawazito,SERVICE,2,
NEWBORN_UNIT,Newborn special care unit,Kitengo cha watoto wachanga,SERVICE,4,
SURGERY_MINOR,Minor surgery,Upasuaji mdogo,SERVICE,3,
SURGERY_GENERAL,General surgery,Upasuaji wa kawaida,SERVICE,4,
SURGERY_SPECIALIST,Specialist surgery,Upasuaji wa kibingwa,SERVICE,5,
THEATRE,Operating theatre,Chumba cha upasuaji,EQUIPMENT,4,
ICU,Intensive care unit,Kitengo cha uangalizi maalum,SERVICE,5,
HDU,High dependency unit,Kitengo cha uangalizi wa hali ya juu,SERVICE,4,
DIALYSIS,Renal dialysis,Kusafisha figo,SERVICE,5,
ONCOLOGY,Cancer treatment,Matibabu ya saratani,SERVICE,5,
CHEMOTHERAPY,Chemotherapy,Tiba ya kemikali,SERVICE,5,
RADIOTHERAPY,Radiotherapy,Tiba ya mionzi,SERVICE,6,Very few facilities nationally
MENTAL_HEALTH,Mental health services,Huduma za afya ya akili,SERVICE,3,Tier 3 sensitivity applies
PSYCHIATRY_INPATIENT,Inpatient psychiatric care,Kulazwa kwa matibabu ya akili,SERVICE,5,
HIV_CARE,HIV care and treatment,Huduma na matibabu ya HIV,SERVICE,2,Tier 3 sensitivity applies
TB_TREATMENT,Tuberculosis treatment,Matibabu ya kifua kikuu,SERVICE,2,Notifiable condition
IMMUNISATION,Immunisation services,Huduma za chanjo,SERVICE,2,KEPI schedule
FAMILY_PLANNING,Family planning,Uzazi wa mpango,SERVICE,2,
NUTRITION,Nutrition services,Huduma za lishe,SERVICE,2,
DENTAL,Dental services,Huduma za meno,SERVICE,3,
EYE_CARE,Eye care,Huduma za macho,SERVICE,3,
EYE_SURGERY,Eye surgery,Upasuaji wa macho,SERVICE,4,
