rule_id,symptoms,age_min,age_max,red_flag,urgency,required_capabilities,min_keph_level,advice_en,advice_sw,reviewed_by,review_status
RF001,chest_pain|breathlessness,16,120,true,EMERGENCY,EMERGENCY_24H|ECG|OXYGEN,4,Go to the nearest emergency department now or call an ambulance,Nenda kwenye idara ya dharura iliyo karibu sasa au piga simu ya gari la wagonjwa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF002,face_drooping|arm_weakness|speech_difficulty,16,120,true,EMERGENCY,EMERGENCY_24H|CT_SCAN,5,Signs of a stroke. Go to the nearest hospital with a scanner immediately,Dalili za kiharusi. Nenda hospitali yenye mashine ya picha mara moja,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF003,bleeding_uncontrolled,0,120,true,EMERGENCY,EMERGENCY_24H|BLOOD_BANK,4,Go to the nearest emergency department now,Nenda kwenye idara ya dharura iliyo karibu sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF004,convulsions,0,120,true,EMERGENCY,EMERGENCY_24H,4,Go to the nearest emergency department now,Nenda kwenye idara ya dharura iliyo karibu sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF005,fever,0,0.17,true,EMERGENCY,EMERGENCY_24H|PAEDIATRIC|NEWBORN_UNIT,4,A fever in a baby under two months is an emergency. Go to hospital now,Homa kwa mtoto chini ya miezi miwili ni dharura. Nenda hospitali sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF006,breathing_difficulty,0,5,true,EMERGENCY,EMERGENCY_24H|PAEDIATRIC|OXYGEN,4,A child struggling to breathe needs emergency care now,Mtoto anayeshindwa kupumua anahitaji huduma ya dharura sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF007,unconscious|unresponsive,0,120,true,EMERGENCY,EMERGENCY_24H,4,Call an ambulance or go to the nearest emergency department now,Piga simu ya gari la wagonjwa au nenda dharura sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF008,severe_abdominal_pain|rigid_abdomen,0,120,true,EMERGENCY,EMERGENCY_24H|SURGERY_GENERAL|THEATRE,4,This may need urgent surgery. Go to a hospital with a theatre now,Hii inaweza kuhitaji upasuaji wa haraka. Nenda hospitali yenye chumba cha upasuaji,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF009,pregnancy_bleeding,12,55,true,EMERGENCY,MATERNITY_CEMONC|BLOOD_BANK|THEATRE,4,Bleeding in pregnancy is an emergency. Go to a hospital with maternity theatre now,Kutokwa damu ukiwa mjamzito ni dharura. Nenda hospitali yenye huduma kamili ya uzazi,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF010,snakebite,0,120,true,EMERGENCY,SNAKEBITE|EMERGENCY_24H,3,Go to the nearest facility that stocks antivenom now. Do not apply a tourniquet,Nenda kituo chenye dawa ya nyoka sasa. Usifunge mkanda,UNASSIGNED,NEEDS_CLINICAL_REVIEW
