icd11_code,clinical_title,plain_en,plain_sw,synonyms,abbreviations,body_system,is_notifiable,sensitivity,review_status
1F41.0,Plasmodium falciparum malaria,You had malaria confirmed by a blood test,Ulikuwa na malaria iliyothibitishwa na kipimo cha damu,malaria|falciparum|homa ya malaria|slide positive malaria,MPS+|BS+,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F40.Z,"Malaria, unspecified",You had malaria,Ulikuwa na malaria,malaria|homa ya malaria|clinical malaria,,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F41.3,Severe malaria,You had severe malaria and needed close care,Ulikuwa na malaria kali iliyohitaji uangalizi wa karibu,severe malaria|complicated malaria|cerebral malaria,,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F41.1,Plasmodium vivax malaria,You had malaria caused by a less common parasite,Ulikuwa na malaria ya vimelea vya nadra,vivax malaria,,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CA07.Z,"Upper respiratory tract infection, unspecified",You had an infection of the nose and throat,Ulikuwa na maambukizi ya pua na koo,common cold|flu|throat infection|mafua,URTI|URI,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CA40.Z,"Pneumonia, organism unspecified",You had an infection in your lungs,Ulikuwa na maambukizi kwenye mapafu,pneumonia|chest infection|nimonia,PN,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CA23.Z,"Bronchitis, unspecified",The airways in your chest were inflamed,Mirija ya hewa kifuani ilivimba,bronchitis|chest cough,,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CA22.Z,Chronic obstructive pulmonary disease,A long-term condition that makes breathing harder,Ugonjwa wa muda mrefu unaofanya kupumua kuwa vigumu,COPD|emphysema|chronic bronchitis,COPD,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CA23.0,Asthma,A condition where your airways tighten and make breathing hard,Hali ambapo mirija ya hewa hubana na kufanya kupumua kuwa vigumu,asthma|pumu,,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CA0A.Z,Acute tonsillitis,Your tonsils were infected and swollen,Tonsili zako zilikuwa na maambukizi na kuvimba,tonsillitis|sore throat,,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B10.Z,Tuberculosis of lung,You had tuberculosis affecting your lungs,Ulikuwa na kifua kikuu kilichoathiri mapafu,tuberculosis|TB|kifua kikuu|PTB,TB|PTB,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1A00,Cholera,You had cholera a severe infection causing watery diarrhoea,Ulikuwa na kipindupindu maambukizi makali yanayosababisha kuhara maji,cholera|kipindupindu,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F00.Z,Amoebiasis,You had an infection of the gut caused by a parasite,Ulikuwa na maambukizi ya tumbo yanayosababishwa na vimelea,amoebiasis|amoeba|amoebic dysentery,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1A40.Z,Gastroenteritis,Your stomach and gut were infected causing vomiting and diarrhoea,Tumbo lako lilikuwa na maambukizi yaliyosababisha kutapika na kuhara,gastroenteritis|diarrhoea|kuhara|stomach upset|AGE,AGE|GE,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1A09.Z,Typhoid fever,You had typhoid a fever caused by contaminated food or water,Ulikuwa na homa ya matumbo inayosababishwa na chakula au maji machafu,typhoid|homa ya matumbo|enteric fever,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1D40,Measles,You had measles,Ulikuwa na surua,measles|surua,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GC08.Z,"Urinary tract infection, site unspecified",You had an infection in your urinary system,Ulikuwa na maambukizi kwenye mfumo wa mkojo,UTI|urine infection|bladder infection,UTI,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
EA80.Z,"Dermatitis, unspecified",Your skin was inflamed and irritated,Ngozi yako ilivimba na kuwashwa,dermatitis|eczema|skin rash|upele,,skin,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F28.Z,Dermatophytosis,You had a fungal infection of the skin,Ulikuwa na maambukizi ya fangasi kwenye ngozi,ringworm|fungal skin infection|tinea,,skin,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B70.Z,Bacterial skin infection,You had a bacterial infection of the skin,Ulikuwa na maambukizi ya bakteria kwenye ngozi,cellulitis|skin infection|abscess,,skin,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
EA00.Z,Scabies,You had scabies a skin condition caused by tiny mites,Ulikuwa na upele unaosababishwa na wadudu wadogo,scabies|upele,,skin,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A11,Type 2 diabetes mellitus,A long-term condition where your blood sugar is too high,Ugonjwa wa muda mrefu ambapo sukari kwenye damu iko juu sana,diabetes|type 2 diabetes|sugar|kisukari|DM,DM|T2DM,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A10,Type 1 diabetes mellitus,A long-term condition where your body makes no insulin,Ugonjwa wa muda mrefu ambapo mwili hautengenezi insulini,type 1 diabetes|insulin dependent diabetes,T1DM,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BA00.Z,Essential hypertension,Your blood pressure is higher than it should be,Shinikizo la damu liko juu kuliko inavyotakiwa,hypertension|high blood pressure|pressure|BP|shinikizo la damu,HTN|BP,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BA41.Z,Ischaemic heart disease,The blood supply to your heart muscle is reduced,Damu inayofika kwenye moyo imepungua,heart disease|angina|coronary artery disease,IHD|CAD,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8B20.Z,Stroke,Blood flow to part of your brain was interrupted,Damu iliyokuwa inaenda kwenye ubongo ilizuiwa,stroke|CVA|cerebrovascular accident,CVA,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BD10,Heart failure,Your heart is not pumping as strongly as it should,Moyo wako hausukumi damu kwa nguvu inavyotakiwa,heart failure|congestive cardiac failure,CCF|CHF,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
FA20.Z,Osteoarthritis,Wear and tear in your joints causing pain and stiffness,Kuchakaa kwa viungo kunakosababisha maumivu na ugumu,arthritis|joint pain|osteoarthritis,OA,musculoskeletal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
FA30.Z,Rheumatoid arthritis,A condition where your immune system attacks your joints,Hali ambapo kinga ya mwili hushambulia viungo,rheumatoid arthritis,RA,musculoskeletal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
ME84.2,Low back pain,You had pain in your lower back,Ulikuwa na maumivu ya mgongo wa chini,back pain|lumbago|LBP,LBP,musculoskeletal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
