code,label_en,label_sw,question_en,question_sw,body_system,kind,severity_marker,min_age,max_age,sex,duration_relevant,review_status
fever,Fever,Homa,Do you have a fever or feel hot?,Una homa au unahisi joto?,general,SYMPTOM,false,0,120,ANY,true,NEEDS_CLINICAL_REVIEW
headache,Headache,Maumivu ya kichwa,Do you have a headache?,Una maumivu ya kichwa?,neurological,SYMPTOM,false,2,120,ANY,true,NEEDS_CLINICAL_REVIEW
fatigue,Tiredness or weakness,Uchovu au udhaifu,Do you feel unusually tired or weak?,Unahisi uchovu au udhaifu usio wa kawaida?,general,SYMPTOM,false,0,120,ANY,true,NEEDS_CLINICAL_REVIEW
weight_loss,Losing weight without trying,Kupungua uzito bila kujaribu,Have you been losing weight without trying?,Umekuwa ukipungua uzito bila kujaribu?,general,SYMPTOM,false,2,120,ANY,true,NEEDS_CLINICAL_REVIEW
night_sweats,Sweating heavily at night,Kutokwa jasho jingi usiku,Do you sweat heavily at night?,Unatokwa na jasho jingi usiku?,general,SYMPTOM,false,2,120,ANY,true,NEEDS_CLINICAL_REVIEW
cough,Cough,Kikohozi,Do you have a cough?,Una kikohozi?,respiratory,SYMPTOM,false,0,120,ANY,true,NEEDS_CLINICAL_REVIEW
cough_over_2_weeks,Cough lasting more than two weeks,Kikohozi cha zaidi ya wiki mbili,Has your cough lasted more than two weeks?,Kikohozi chako kimedumu zaidi ya wiki mbili?,respiratory,SYMPTOM,true,0,120,ANY,false,NEEDS_CLINICAL_REVIEW
coughing_blood,Coughing up blood,Kukohoa damu,Have you coughed up blood?,Umekohoa damu?,respiratory,SYMPTOM,true,2,120,ANY,true,NEEDS_CLINICAL_REVIEW
breathlessness,Shortness of breath,Kukosa pumzi,Do you feel short of breath?,Unahisi kukosa pumzi?,respiratory,SYMPTOM,true,5,120,ANY,true,NEEDS_CLINICAL_REVIEW
breathing_difficulty,Struggling to breathe,Kushindwa kupumua,Is the child struggling to breathe or breathing very fast?,Mtoto anashindwa kupumua au anapumua haraka sana?,respiratory,RED_FLAG,true,0,12,ANY,false,NEEDS_CLINICAL_REVIEW
chest_pain,Chest pain,Maumivu ya kifua,Do you have pain in your chest?,Una maumivu ya kifua?,cardiovascular,SYMPTOM,true,12,120,ANY,true,NEEDS_CLINICAL_REVIEW
palpitations,Heart beating fast or irregularly,Moyo kupiga haraka au vibaya,Does your heart feel like it is racing or skipping?,Moyo wako unapiga haraka au kwa mruko?,cardiovascular,SYMPTOM,false,12,120,ANY,true,NEEDS_CLINICAL_REVIEW
leg_swelling,Swollen legs or ankles,Kuvimba miguu au vifundo,Are your legs or ankles swollen?,Miguu au vifundo vyako vimevimba?,cardiovascular,SYMPTOM,false,12,120,ANY,true,NEEDS_CLINICAL_REVIEW
high_blood_pressure_known,Known high blood pressure,Shinikizo la damu linalojulikana,Have you been told you have high blood pressure?,Umeambiwa una shinikizo la damu?,cardiovascular,HISTORY,false,12,120,ANY,false,NEEDS_CLINICAL_REVIEW
abdominal_pain,Stomach pain,Maumivu ya tumbo,Do you have pain in your stomach?,Una maumivu ya tumbo?,digestive,SYMPTOM,false,0,120,ANY,true,NEEDS_CLINICAL_REVIEW
severe_abdominal_pain,Severe stomach pain,Maumivu makali ya tumbo,Is the stomach pain severe or getting worse quickly?,Maumivu ya tumbo ni makali au yanazidi haraka?,digestive,RED_FLAG,true,0,120,ANY,false,NEEDS_CLINICAL_REVIEW
rigid_abdomen,Hard or rigid stomach,Tumbo gumu,Is the stomach hard and painful to touch?,Tumbo ni gumu na linauma likiguswa?,digestive,RED_FLAG,true,0,120,ANY,false,NEEDS_CLINICAL_REVIEW
vomiting,Vomiting,Kutapika,Have you been vomiting?,Umekuwa ukitapika?,digestive,SYMPTOM,false,0,120,ANY,true,NEEDS_CLINICAL_REVIEW
